ts_code,symbol,name,area,industry,market,list_date
159283.SZ,159283,通用航空ETF南方,,T+1交易,ETF,20250821
512370.SH,512370,A500增强ETF基金,,T+1交易,ETF,20250818
159280.SZ,159280,港股通互联网ETF汇添富,,T+0交易,ETF,20250818
563620.SH,563620,自由现金流全指ETF,,T+1交易,ETF,20250820
159277.SZ,159277,港股通红利ETF富国,,T+0交易,ETF,20250814
159278.SZ,159278,机器人ETF鹏华,,T+1交易,ETF,20250812
159271.SZ,159271,恒生指数ETF,,T+0交易,ETF,20250811
159273.SZ,159273,云计算ETF汇添富,,T+1交易,ETF,20250806
512030.SH,512030,中证A50增强ETF易方达,,T+1交易,ETF,20250813
159255.SZ,159255,通用航空ETF易方达,,T+1交易,ETF,20250804
159258.SZ,159258,机器人ETF南方,,T+1交易,ETF,20250801
159256.SZ,159256,创业板软件ETF华夏,,T+1交易,ETF,20250804
560120.SH,560120,现金流500ETF,,T+1交易,ETF,20250805
159266.SZ,159266,港股通央企红利ETF,,T+0交易,ETF,20250801
159267.SZ,159267,航天ETF,,T+1交易,ETF,20250801
562870.SH,562870,证券ETF嘉实,,T+1交易,ETF,20250725
159276.SZ,159276,现金流ETF汇添富,,T+1交易,ETF,20250728
159242.SZ,159242,创业板人工智能ETF大成,,T+1交易,ETF,20250724
563580.SH,563580,自由现金流ETF800,,T+1交易,ETF,20250725
159270.SZ,159270,创业板200ETF南方,,T+1交易,ETF,20250724
159257.SZ,159257,航空ETF基金,,T+1交易,ETF,20250728
159251.SZ,159251,港股科技ETF基金,,T+0交易,ETF,20250724
159268.SZ,159268,港股通消费50ETF,,T+0交易,ETF,20250721
159248.SZ,159248,人工智能ETF基金,,T+1交易,ETF,20250724
512060.SH,512060,中证A100ETF天弘,,T+1交易,ETF,20250718
159311.SZ,159311,数字经济ETF易方达,,T+1交易,ETF,20250715
159246.SZ,159246,创业板人工智能ETF富国,,T+1交易,ETF,20250710
159269.SZ,159269,港股通科技ETF南方,,T+0交易,ETF,20250710
159263.SZ,159263,价值ETF,,T+1交易,ETF,20250708
159262.SZ,159262,港股通科技ETF,,T+0交易,ETF,20250707
159223.SZ,159223,现金流ETF永赢,,T+1交易,ETF,20250703
159237.SZ,159237,港股汽车ETF基金,,T+0交易,ETF,20250707
159261.SZ,159261,创业板新能源ETF鹏华,,T+1交易,ETF,20250707
159249.SZ,159249,A500增强ETF工银,,T+1交易,ETF,20250702
563630.SH,563630,A500增强ETF,,T+1交易,ETF,20250701
159365.SZ,159365,恒指ETF,,T+1交易,ETF,20250630
159265.SZ,159265,港股消费50ETF,,T+0交易,ETF,20250702
159550.SZ,159550,互联网ETF沪港深,,T+1交易,ETF,20250627
561090.SH,561090,中证A500增强ETF,,T+1交易,ETF,20250702
159203.SZ,159203,大盘成长ETF,,T+1交易,ETF,20250630
561770.SH,561770,中证A100指数ETF,,T+1交易,ETF,20250624
562050.SH,562050,药ETF,,T+1交易,ETF,20250619
159245.SZ,159245,港股通消费ETF,,T+0交易,ETF,20250619
159240.SZ,159240,中证A500增强ETF天弘,,T+1交易,ETF,20250617
159228.SZ,159228,红利低波ETF长城,,T+1交易,ETF,20250618
512130.SH,512130,现金流ETF中证全指,,T+1交易,ETF,20250701
159205.SZ,159205,创业板ETF东财,,T+1交易,ETF,20250612
159387.SZ,159387,创业板新能源ETF国泰,,T+1交易,ETF,20250610
159238.SZ,159238,300ETF增强,,T+1交易,ETF,20250609
159372.SZ,159372,创业板50ETF万家,,T+1交易,ETF,20250609
159389.SZ,159389,数字经济ETF嘉实,,T+1交易,ETF,20250530
159210.SZ,159210,港股汽车ETF,,T+0交易,ETF,20250604
561750.SH,561750,中证A50ETF博时,,T+1交易,ETF,20250530
159233.SZ,159233,自由现金流ETF基金,,T+1交易,ETF,20250604
159385.SZ,159385,数字经济ETF富国,,T+1交易,ETF,20250530
561220.SH,561220,数字经济ETF工银,,T+1交易,ETF,20250530
159230.SZ,159230,通用航空ETF基金,,T+1交易,ETF,20250530
563760.SH,563760,全指自由现金流ETF,,T+1交易,ETF,20250606
159241.SZ,159241,航空航天ETF天弘,,T+1交易,ETF,20250529
159226.SZ,159226,中证A500增强ETF,,T+1交易,ETF,20250529
159239.SZ,159239,港股通汽车ETF富国,,T+0交易,ETF,20250528
563830.SH,563830,全指现金流ETF基金,,T+1交易,ETF,20250522
159218.SZ,159218,卫星产业ETF,,T+1交易,ETF,20250522
563060.SH,563060,央企50ETF,,T+1交易,ETF,20250519
563770.SH,563770,全指现金流ETF,,T+1交易,ETF,20250516
563550.SH,563550,A500增强ETF摩根,,T+1交易,ETF,20250516
